@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,109,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,94,0.1365763594,0.0000643924,0.0000000304,?,?,?,53
Left,62,0.0089248617,0.0000000841,0.0000000000,?,?,?,53
Left,62,0.0035560643,0.0000000071,0.0000000000,?,?,?,53
Left,94,0.5644997070,0.0003618588,0.0000002320,?,?,?,53
Left,63,0.0260791875,0.0000013060,0.0000000001,?,?,?,53
Left,62,0.0084033613,0.0000088271,0.0000000093,?,?,?,53
Left,78,0.7479217984,0.0009985605,0.0000013332,?,?,?,53
Left,63,0.0161803628,0.0000002898,0.0000000000,?,?,?,53
Left,93,0.4128076182,0.0000576466,0.0000000081,?,?,?,53
Left,78,0.4559806270,0.0002087823,0.0000000956,?,?,?,53
Left,78,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,78,0.3191127807,0.0003197523,0.0000003204,?,?,?,53
Left,62,0.1511676735,0.0000410559,0.0000000112,?,?,?,53
Left,78,0.1833805575,0.0000066377,0.0000000002,?,?,?,53
Double,499,0.4120415267,0.0001128881,0.0000000309,62,375,62,53
Left,78,0.2102277100,0.0000761143,0.0000000276,?,?,?,53
Left,78,0.1279979307,0.0000532881,0.0000000222,?,?,?,53
Left,109,0.0362809053,0.0000036625,0.0000000004,?,?,?,53
Left,63,0.1915408208,0.0002274832,0.0000002702,?,?,?,53
Left,93,0.0330512200,0.0000040356,0.0000000005,?,?,?,53
Left,78,0.2243363975,0.0002876108,0.0000003687,?,?,?,53
Left,78,0.0509514424,0.0000037888,0.0000000003,?,?,?,53
Left,93,0.0888193770,0.0000229567,0.0000000059,?,?,?,53
Double,452,0.0678033991,0.0000028689,0.0000000001,109,281,62,53
Left,94,0.3078263112,0.0000808792,0.0000000213,?,?,?,53
Left,78,0.0370850195,0.0000014399,0.0000000001,?,?,?,53
Left,93,0.0747336707,0.0000039171,0.0000000002,?,?,?,53
Left,63,0.0704998429,0.0000114411,0.0000000019,?,?,?,53
Left,78,0.0683644863,0.0000118442,0.0000000021,?,?,?,53
